lat,long,agi
47.482565,-122.175843,65018
47.161364,-122.517389,33617
47.161377,-122.517325,33617
48.219574,-122.689582,47069
47.363983,-122.241893,33665
47.242139,-122.437121,59070
47.6098443,-122.2024273,239631
47.6280692,-122.1438882,69292
46.729675,-117.161393,41024
47.6753316,-122.2057967,187933
45.627364,-122.673345,56466
45.627361,-122.673261,56466
45.627365,-122.67312,56466
47.300047,-117.978322,27324
48.47916,-120.186565,54389
45.625546157476,-122.58179668033,55625
47.357329,-122.301971,32259
47.2999,-122.2135,27573
47.356001,-122.16869,32831
48.391109,-122.496837,50914
47.621304,-122.357684,121779
46.938306,-121.472889,48963
47.60523,-122.33059,98639
47.2386767566705,-122.430340659049,36840
47.255696,-122.5292482,53051
47.2294673,-122.420899,26893
47.23432,-117.370158,32106
47.980493,-122.197684,40670
47.980407,-122.197643,40670
47.494084378,-122.206335298,45670
47.778229,-122.344838,59103
48.10697,-122.779991,47597
47.18093,-122.44228,25250
47.298756,-122.515766,62424
48.219576,-122.689657,47069
48.2325756,-122.3291167,47836
47.2652015,-122.4496292,67968
47.5806355,-122.1564536,117231
47.4413275,-122.2950909,35278
47.2478256,-122.4141119,36840
45.661573,-122.5636326,34687
45.621549,-122.572604,55625
47.609487,-122.342908,257397
47.476251,-122.332159,32519
47.931316,-122.219758,42371
47.614387,-122.35162200000002,150993
47.050128,-122.823353,43185
47.662861,-122.097803,104401
45.578726,-122.379886,46414
46.220623,-119.219539,27737
47.274697,-122.468095,67968
47.6153062,-122.3521142,150993
47.6004833,-122.31738,80600
47.5732455,-122.6336963,37663
46.1315296,-122.9358643,32571
47.4956579,-121.7867775,74622
47.382882,-122.229116,32831
47.605477,-122.323427,98639
47.745333,-117.407863,38067
47.744534,-122.63931,49711
47.744532,-122.639463,49711
48.251621,-121.601383,30914
46.71653,-120.677423,38745
47.2439401,-122.3698252,39430
47.707366,-122.173913,81474
47.672004,-117.386224,29113
45.66201,-122.584186,34687
45.662011,-122.584106,34687
47.224977,-122.435165,32588
47.62066,-122.32952,130936
48.362102,-120.121376,37152
48.7330226,-122.4712397,48487
47.49845,-122.20461,45670
47.092582,-122.644253,37433
47.820256,-122.271361,47505
47.611261,-122.320999,98592
47.6183604,-122.3383451,150993
47.21543,-122.47068,28926
48.09264,-122.1897,37493
47.118605,-118.365561,34733
47.7033,-122.32519,61215
46.759919,-121.981984,30725
47.67137,-122.11949,104401
47.63986,-122.377668,121779
47.450258,-122.299448,35278
47.618675,-122.18436,239631
47.250837,-122.455311,34053
47.70931,-122.31601,61215
47.701359,-122.363146,89744
47.546017,-122.06528,91358
47.7133,-122.209,81474
45.643374,-122.600102,39081
47.423319,-122.298723,35278
47.619791,-122.19971,239631
47.619784,-122.199758,239631
48.108127484,-122.78202579,47597
47.6617217,-122.3758674,95249
47.25033,-122.18104,130936
47.228157,-122.485043,28926
47.56720941097377,-122.3302094155016,161615
47.709683,-117.407065,39647
47.943721,-117.476902,33320
47.42327,-122.298719,39968
47.444398,-122.29516,35278
48.539715,-117.905363,30871
47.657077,-117.368054,29113
47.693653,-117.374808,23162
47.208167,-122.4343,30645
47.611826,-122.201331,239631
47.972937,-122.200839,40670
46.680072,-122.977218,36475
47.101923,-122.296815,34868
47.618104,-122.19222,239631
48.537035,-121.758653,30048
47.618059,-122.192221,239631
47.618012,-122.192224,239631
47.617957,-122.192223,239631
47.617904,-122.192223,239631
47.617862,-122.192221,239631
47.617821,-122.192223,239631
47.617771,-122.192224,239631
47.616076,-122.339828,150993
47.616069,-122.339836,150993
47.616081,-122.339836,150993
47.429582,-120.315228,37355
47.616062,-122.339797,150993
47.616069,-122.339786,150993
47.616069,-122.339818,150993
47.616026,-122.339818,150993
47.616069,-122.339882,150993
47.616062,-122.339845,150993
47.616055,-122.339829,150993
47.616055,-122.33985,150993
47.616071,-122.339854,150993
47.616083,-122.33985,150993
47.031067,-122.930247,50031
47.442921,-120.316235,37355
47.616082,-122.339821,150993
47.616259,-122.338853,121779
47.616265,-122.338863,121779
47.616277,-122.338872,121779
47.616276,-122.338848,121779
47.616271,-122.338868,121779
47.61628,-122.338861,121779
47.616076,-122.339844,150993
47.61607,-122.339824,150993
47.615307,-122.338225,150993
47.661471,-122.299298,127182
47.615314,-122.338234,150993
47.61532,-122.338246,150993
47.615305,-122.338215,150993
47.615303,-122.338242,150993
47.615311,-122.338245,150993
47.615297,-122.338221,150993
47.616662,-122.340786,150993
47.616653,-122.340794,150993
47.616663,-122.340804,150993
47.616663,-122.340794,150993
47.599,-122.330804,98639
47.778256,-122.344832,59103
47.712309,-122.179514,81474
47.625021,-117.539657,47253
47.625087,-117.539968,47253
47.625006,-117.539796,47253
47.625021,-117.539667,47253
47.625019,-117.539831,47253
47.625122,-117.539614,47253
47.5926384626354,-122.330869270063,98639
47.5955737030563,-122.311841805333,80600
47.534915,-122.037552,91358
47.6054544002366,-122.330085418863,98639
47.610826048907,-122.334346934116,257397
47.6492281351155,-122.342061617054,98316
47.6548806651459,-122.319211227533,127182
47.6619766883491,-122.293346008603,127182
47.04506,-122.89476,45355
48.89416,-122.281001,34426
47.973294,-122.201177,40670
46.2925976863444,-119.274740824072,40370
48.750857,-122.479518,48487
46.375435,-120.33262,18730
47.670514,-117.103246,61376
48.081697184675,-121.96881709403,38554
48.0812599680094,-121.968687709625,38554
47.271112,-122.487932,62424
47.625629,-122.342054,130936
47.625821,-122.342051,130936
47.5816,-122.334883,161615
47.581601,-122.334848,161615
48.72532,-122.505152,48487
47.2600301,-122.4438042,59070
47.6184362,-122.1962934,239631
47.531503,-122.072654,91358
47.530138,-122.070337,91358
47.530096,-122.070319,91358
47.455407,-122.256023,35278
47.615249,-122.3332564,257397
47.49132,-121.79308,74622
47.604891,-122.336815,98639
45.816957,-122.74557,57400
47.614294,-122.201255,239631
48.754914,-122.459858,49607
46.0781030999106,-118.273813752914,38102
46.0805102792022,-118.281170868322,38102
46.58914,-120.603074,44013
46.107148,-122.941863,32571
48.052642,-122.178325,37144
48.052658,-122.178452,37144
46.719919,-117.182462,41024
46.71994,-117.182416,41024
46.719669,-117.181523,41024
47.614098,-122.200729,239631
47.103405,-119.83392,25579
47.374141,-123.155375,32504
46.324948,-119.308371,40370
47.604817,-122.330568,98639
47.512,-122.28809,52144
47.511906,-122.2884,52144
47.51099,-122.29256,52144
48.114488,-123.431968,38344
48.114455,-123.431904,38344
48.114513,-123.43206,38344
48.6735,-121.244711,33567
45.82999,-122.74774,57400
46.9708,-123.82138,28901
46.97114,-123.820991,28901
46.97114,-123.82099,28901
46.97117,-123.82093,28901
46.97117,-123.82092,28901
47.611198,-122.334788,257397
47.673872,-117.35623,29113
48.50598,-122.6117,60931
47.558592,-120.675803,53459
46.25605,-119.11724,28619
46.06881,-118.35589,38102
47.12836,-123.10355,32504
45.645638,-122.601482,39081
46.97114,-123.820993,28901
48.164038,-122.184364,41465
45.647766,-122.59692,34687
45.647721,-122.596933,34687
45.647742,-122.596928,34687
47.673595,-117.20218,29975
46.236607,-119.128998,28619
47.652922,-118.150361,35663
48.78815,-122.487681,44946
47.9752,-122.2018,40670
48.777522,-122.503621,48487
48.751046,-122.477956,48487
47.62245,-122.17886,117231
47.442974,-122.227286,45670
47.442791,-122.227276,45670
47.442789,-122.227261,45670
48.713154,-122.499368,49607
47.66367,-117.412254,53093
47.577257,-122.209818,206897
47.66371,-117.412254,53093
46.679769,-122.976995,36475
47.622447,-122.178896,117231
47.622458,-122.178882,117231
47.622478,-122.177542,117231
47.622506,-122.177537,117231
47.5015305,-122.20464175,65018
47.50222425,-122.203510417,65018
47.0958375,-122.357127,34868
47.563966,-122.287468,52144
47.812524,-122.540217,49113
47.45568,-122.281965,35278
47.707803471,-122.58338748,39065
47.7253287,-122.3465598,52359
48.080594,-123.117292,44410
45.7222565,-122.6509065,47122
47.831167333,-122.275226667,43843
47.501408833,-122.2044995,65018
47.830787,-122.275145,43843
47.622476,-122.17888,117231
48.451235,-122.343842,35338
47.504444,-122.516388,37099
47.622443,-122.178877,117231
46.72914,-117.177179,41024
47.622449,-122.178919,117231
47.615003,-122.331809,257397
47.61488,-122.331476,257397
47.614938,-122.331583,257397
47.614938,-122.331508,257397
47.910443,-122.22728,42691
47.91042,-122.22728,42691
47.3016,-122.234444,40765
47.605953,-122.037391,124931
45.6299198,-122.6684897,56466
47.418452,-122.199528,36723
47.392052,-122.202541,36723
47.648127,-122.317529,134395
47.740406,-117.482601,39647
46.603757,-120.503355,25561
47.909318,-122.225827,42691
46.2159449742615,-119.218547768196,27737
48.436844,-122.312753,34728
47.254591,-122.439294,59070
47.613367,-122.194775,239631
47.275715,-122.396176,36840
47.209605,-122.462678,28926
47.85919654,-122.1767124,60641
47.329972,-122.582577,71256
48.715337,-122.477684,48487
47.555928,-122.67698,38510
47.318292,-122.335526,32259
47.318336,-122.33558,32259
47.655327,-122.205254,187933
47.418161,-122.292929,39968
48.009356,-119.672953,12036
46.037685,-118.371025,30822
47.019158,-120.537756,38855
47.617103,-122.192456,239631
47.620163,-122.190604,239631
45.72812,-121.48508,52734
47.196706,-122.206916,43982
46.03764,-118.370917,30822
47.61928,-122.348035,130936
48.759581,-122.459056,49607
47.622256,-122.356564,130936
48.705586,-119.438406,24247
47.620085,-122.336021,130936
47.622256,-122.356521,130936
47.582053,-122.14192,69292
46.60623617299185,-120.50777013069076,25561
46.584213,-120.541453,23579
46.58407,-120.541405,23579
