lat,long,test
48.391109,-122.496837,1
47.621304,-122.357684,1
46.938306,-121.472889,1
47.2386767566705,-122.430340659049,1
47.255696,-122.5292482,1
47.2294673,-122.420899,1
47.23432,-117.370158,1
47.980493,-122.197684,1
47.980407,-122.197643,1
47.494084378,-122.206335298,1
47.778229,-122.344838,1
48.10697,-122.779991,1
47.18093,-122.44228,1
47.298756,-122.515766,1
48.219576,-122.689657,1
48.2325756,-122.3291167,1
47.2652015,-122.4496292,1
47.5806355,-122.1564536,1
47.4413275,-122.2950909,1
47.2478256,-122.4141119,1
45.661573,-122.5636326,1
45.621549,-122.572604,1
47.609487,-122.342908,1
47.476251,-122.332159,1
47.931316,-122.219758,1
47.614387,-122.35162200000002,1
47.050128,-122.823353,1
47.662861,-122.097803,1
47.045574,-122.857714,1
45.578726,-122.379886,1
46.220623,-119.219539,1
47.274697,-122.468095,1
47.6153062,-122.3521142,1
47.6004833,-122.31738,1
47.5732455,-122.6336963,1
46.1315296,-122.9358643,1
47.4956579,-121.7867775,1
47.382882,-122.229116,1
47.605477,-122.323427,1
47.745333,-117.407863,1
47.744534,-122.63931,1
47.744532,-122.639463,1
48.251621,-121.601383,1
46.71653,-120.677423,1
47.2439401,-122.3698252,1
47.707366,-122.173913,1
47.672004,-117.386224,1
45.66201,-122.584186,1
45.662011,-122.584106,1
47.224977,-122.435165,1
47.62066,-122.32952,1
48.362102,-120.121376,1
48.7330226,-122.4712397,1
47.49845,-122.20461,1
47.092582,-122.644253,1
47.820256,-122.271361,1
47.611261,-122.320999,1
47.6183604,-122.3383451,1
47.21543,-122.47068,1
48.09264,-122.1897,1
47.118605,-118.365561,1
47.7033,-122.32519,1
46.759919,-121.981984,1
47.67137,-122.11949,1
47.63986,-122.377668,1
47.450258,-122.299448,1
47.618675,-122.18436,1
47.250837,-122.455311,1
47.70931,-122.31601,1
47.701359,-122.363146,1
47.546017,-122.06528,1
47.7133,-122.209,1
45.643374,-122.600102,1
47.423319,-122.298723,1
47.619791,-122.19971,1
47.619784,-122.199758,1
48.108127484,-122.78202579,1
47.6617217,-122.3758674,1
47.25033,-122.18104,1
47.228157,-122.485043,1
47.19404038977142,-124.1980829153442,1
47.709683,-117.407065,1
47.943721,-117.476902,1
47.42327,-122.298719,1
47.444398,-122.29516,1
48.539715,-117.905363,1
47.657077,-117.368054,1
