Zipcode,Type,City,County,State,Area Codes
98821,Po Box,Dryden,Chelan County,WA,509
98822,Standard,Entiat,Chelan County,WA,509
98823,Standard,Ephrata,Grant County,WA,509
98824,Po Box,George,Grant County,WA,509
98826,Standard,Leavenworth,Chelan County,WA,509-36
98827,Standard,Loomis,Okanogan County,WA,509
98828,Standard,Malaga,Chelan County,WA,509
98829,Po Box,Malott,Okanogan County,WA,509
98830,Standard,Mansfield,Douglas County,WA,509
98831,Standard,Manson,Chelan County,WA,509
98832,Standard,Marlin,Grant County,WA,509
98833,Standard,Mazama,Okanogan County,WA,509
98834,Standard,Methow,Okanogan County,WA,509
98836,Po Box,Monitor,Chelan County,WA,509
98837,Standard,Moses Lake,Grant County,WA,509
98840,Standard,Okanogan,Okanogan County,WA,509
98841,Standard,Omak,Okanogan County,WA,509
98843,Standard,Orondo,Douglas County,WA,509
98844,Standard,Oroville,Okanogan County,WA,509
98845,Standard,Palisades,Douglas County,WA,509
98846,Standard,Pateros,Okanogan County,WA,509
98847,Standard,Peshastin,Chelan County,WA,509
98848,Standard,Quincy,Grant County,WA,509
98849,Standard,Riverside,Okanogan County,WA,509
98850,Standard,Rock Island,Douglas County,WA,509
98851,Standard,Soap Lake,Grant County,WA,509
98852,Po Box,Stehekin,Chelan County,WA,509
98853,Po Box,Stratford,Grant County,WA,509
98855,Standard,Tonasket,Okanogan County,WA,509
98856,Standard,Twisp,Okanogan County,WA,509
98857,Standard,Warden,Grant County,WA,509
98858,Standard,Waterville,Douglas County,WA,509
98859,Standard,Wauconda,Okanogan County,WA,509
98860,Po Box,Wilson Creek,Grant County,WA,509
98862,Standard,Winthrop,Okanogan County,WA,509
98901,Standard,Yakima,Yakima County,WA,509
98902,Standard,Yakima,Yakima County,WA,509
98903,Standard,Yakima,Yakima County,WA,509
98904,Po Box,Yakima,Yakima County,WA,509
98907,Po Box,Yakima,Yakima County,WA,509
98908,Standard,Yakima,Yakima County,WA,509
98909,Po Box,Yakima,Yakima County,WA,509
98920,Po Box,Brownstown,Yakima County,WA,509
98921,Po Box,Buena,Yakima County,WA,509
98922,Standard,Cle Elum,Kittitas County,WA,509
98923,Standard,Cowiche,Yakima County,WA,509
98925,Po Box,Easton,Kittitas County,WA,509
98926,Standard,Ellensburg,Kittitas County,WA,509
98929,Standard,Naches,Yakima County,WA,509
98930,Standard,Grandview,Yakima County,WA,509
98932,Standard,Granger,Yakima County,WA,509
98933,Standard,Harrah,Yakima County,WA,509
98934,Po Box,Kittitas,Kittitas County,WA,509
98935,Standard,Mabton,Yakima County,WA,509
98936,Standard,Moxee,Yakima County,WA,509
98937,Standard,Naches,Yakima County,WA,509
98938,Standard,Outlook,Yakima County,WA,509
98939,Po Box,Parker,Yakima County,WA,509
98940,Po Box,Ronald,Kittitas County,WA,509
98941,Po Box,Roslyn,Kittitas County,WA,509
98942,Standard,Selah,Yakima County,WA,509
98943,Po Box,South Cle Elum,Kittitas County,WA,509
98944,Standard,Sunnyside,Yakima County,WA,509
98946,Standard,Thorp,Kittitas County,WA,509
98947,Standard,Tieton,Yakima County,WA,509
98948,Standard,Toppenish,Yakima County,WA,509
98950,Po Box,Vantage,Kittitas County,WA,509
98951,Standard,Wapato,Yakima County,WA,509
98952,Standard,White Swan,Yakima County,WA,509
98953,Standard,Zillah,Yakima County,WA,509
99001,Standard,Airway Heights,Spokane County,WA,509
99003,Standard,Chattaroy,Spokane County,WA,509
99004,Standard,Cheney,Spokane County,WA,509
99005,Standard,Colbert,Spokane County,WA,509
99006,Standard,Deer Park,Spokane County,WA,509
99008,Standard,Edwall,Lincoln County,WA,509
99009,Standard,Elk,Spokane County,WA,509
99011,Standard,Fairchild Air Force Base,Spokane County,WA,509
99012,Standard,Fairfield,Spokane County,WA,509
99013,Standard,Ford,Stevens County,WA,509
99014,Po Box,Four Lakes,Spokane County,WA,509
99016,Standard,Greenacres,Spokane County,WA,509
99017,Standard,Lamont,Whitman County,WA,509
99018,Standard,Latah,Spokane County,WA,509
99019,Standard,Liberty Lake,Spokane County,WA,509
99020,Po Box,Marshall,Spokane County,WA,509
